"Story","Title","Result","Date","Stability","Duration (s)"
"FB Login","User has failed to login FB","ERROR","2022-04-17T16:44:03.257+07:00[Asia/Bangkok]","0.0","19.88"
"Orange HRM - CRUD Employed Data","User add Orange HRM employee successfully","SUCCESS","2022-04-17T16:44:03.741+07:00[Asia/Bangkok]","0.0","28.27"
"Orange HRM - CRUD Employed Data","user read Orange HRM employee list successfully","SUCCESS","2022-04-17T16:44:32.727+07:00[Asia/Bangkok]","0.0","16.04"
"Orange HRM - CRUD Employed Data","user update Orange HRM employee successfully","SUCCESS","2022-04-17T16:44:49.412+07:00[Asia/Bangkok]","0.0","29.85"
"Orange HRM - CRUD Employed Data","user delete Orange HRM employee successfully","SUCCESS","2022-04-17T16:45:19.896+07:00[Asia/Bangkok]","0.0","14.88"
"Orange HRM - Login","User login Orange HRM successfully","SUCCESS","2022-04-17T16:45:35.427+07:00[Asia/Bangkok]","0.0","10.75"
