"Story","Title","Result","Date","Stability","Duration (s)"
"Orange HRM - CRUD Employed Data","User add Orange HRM employee successfully","SUCCESS","2022-04-16T16:30:04.543+07:00[Asia/Bangkok]","0.0","20.96"
"Orange HRM - CRUD Employed Data","user read Orange HRM employee list successfully","SUCCESS","2022-04-16T16:30:26.256+07:00[Asia/Bangkok]","0.0","13.61"
"Orange HRM - CRUD Employed Data","user update Orange HRM employee successfully","SUCCESS","2022-04-16T16:30:40.512+07:00[Asia/Bangkok]","0.0","20.27"
"Orange HRM - CRUD Employed Data","user delete Orange HRM employee successfully","SUCCESS","2022-04-16T16:31:01.423+07:00[Asia/Bangkok]","0.0","15.62"
"Orange HRM - Login","User login Orange HRM successfully","SUCCESS","2022-04-16T16:31:17.734+07:00[Asia/Bangkok]","0.0","14.72"
